event_id,matchup,home_team,away_team,venue,address,state,date,start_Time,min_Price,max_Price
125,Phoenix Suns vs. Utah Jazz,Phoenix Suns,Utah Jazz,Phoenix Suns Arena (formerly Talking Stick Resort Arena),201 East Jefferson Street,AZ,2021-04-30,19:00:00,55,303
126,Memphis Grizzlies vs. Sacramento Kings,Memphis Grizzlies,Sacramento Kings,FedExForum,191 Beale Street,TN,2021-05-14,20:00:00,12,154
127,Indiana Pacers vs. Atlanta Hawks,Indiana Pacers,Atlanta Hawks,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-06,20:00:00,15,291
128,Atlanta Hawks vs. Portland Trail Blazers,Atlanta Hawks,Portland Trail Blazers,State Farm Arena,One State Farm Drive,GA,2021-05-03,20:00:00,21,999
129,Memphis Grizzlies vs. Sacramento Kings,Memphis Grizzlies,Sacramento Kings,FedExForum,191 Beale Street,TN,2021-05-13,19:00:00,12,154
130,Milwaukee Bucks vs. Brooklyn Nets,Milwaukee Bucks,Brooklyn Nets,Fiserv Forum,1111 Vel R. Phillips Ave,WI,2021-05-04,18:30:00,55,650
131,Indiana Pacers vs. Sacramento Kings,Indiana Pacers,Sacramento Kings,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-05,20:00:00,9,234
132,Golden State Warriors vs. Sacramento Kings,Golden State Warriors,Sacramento Kings,Chase Center,300 16th Street,CA,2021-04-25,19:00:00,80,3500
133,Golden State Warriors vs. Utah Jazz,Golden State Warriors,Utah Jazz,Chase Center,300 16th Street,CA,2021-05-10,19:00:00,80,3500
134,Golden State Warriors vs. Phoenix Suns,Golden State Warriors,Phoenix Suns,Chase Center,300 16th Street,CA,2021-05-11,19:00:00,80,3500
135,Indiana Pacers vs. Milwaukee Bucks,Indiana Pacers,Milwaukee Bucks,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-13,19:00:00,29,415
136,Golden State Warriors vs. Memphis Grizzlies,Golden State Warriors,Memphis Grizzlies,Chase Center,300 16th Street,CA,2021-05-16,19:00:00,80,3500
137,Charlotte Hornets vs. Miami Heat,Charlotte Hornets,Miami Heat,Spectrum Center ,333 East Trade Street,NC,2021-05-02,20:00:00,2,249
138,Charlotte Hornets vs. Milwaukee Bucks,Charlotte Hornets,Milwaukee Bucks,Spectrum Center ,333 East Trade Street,NC,2021-04-27,19:00:00,2,299
139,Memphis Grizzlies vs. New Orleans Pelicans,Memphis Grizzlies,New Orleans Pelicans,FedExForum,191 Beale Street,TN,2021-05-10,19:00:00,35,343
140,Memphis Grizzlies vs. Portland Trail Blazers,Memphis Grizzlies,Portland Trail Blazers,FedExForum,191 Beale Street,TN,2021-04-28,20:00:00,23,252
141,Charlotte Hornets vs. Orlando Magic,Charlotte Hornets,Orlando Magic,Spectrum Center ,333 East Trade Street,NC,2021-05-07,20:00:00,2,199
142,Utah Jazz vs. Minnesota Timberwolves,Utah Jazz,Minnesota Timberwolves,Vivint Arena,301 West South Temple,UT,2021-04-24,19:00:00,20,2500
143,Indiana Pacers vs. Oklahoma City Thunder,Indiana Pacers,Oklahoma City Thunder,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-04-21,19:00:00,9,234
144,Indiana Pacers vs. Portland Trail Blazers,Indiana Pacers,Portland Trail Blazers,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-04-27,19:00:00,15,291
145,San Antonio Spurs v Miami Heat Fiesta Sunglasses Giveaway,San Antonio Spurs,Miami Heat,AT&T Center,1 AT&T Center,TX,2021-04-21,19:30:00,12,1000
146,Indiana Pacers vs. Philadelphia 76ers,Indiana Pacers,Philadelphia 76ers,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-05-11,20:00:00,20,364
147,Golden State Warriors vs. Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder,Chase Center,300 16th Street,CA,2021-05-06,19:00:00,80,3500
148,Golden State Warriors vs. Oklahoma City Thunder,Golden State Warriors,Oklahoma City Thunder,Chase Center,300 16th Street,CA,2021-05-08,19:00:00,80,3500
149,Golden State Warriors vs. New Orleans Pelicans,Golden State Warriors,New Orleans Pelicans,Chase Center,300 16th Street,CA,2021-05-14,19:00:00,80,3500
150,Charlotte Hornets vs. New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,Spectrum Center ,333 East Trade Street,NC,2021-05-09,19:00:00,2,349
151,Phoenix Suns vs. Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Phoenix Suns Arena (formerly Talking Stick Resort Arena),201 East Jefferson Street,AZ,2021-05-13,19:00:00,55,303
152,Brooklyn Nets vs. Phoenix Suns,Brooklyn Nets,Phoenix Suns,Barclays Center,620 Atlantic Ave,NY,2021-04-25,15:30:00,129,6500
153,Indiana Pacers vs. Brooklyn Nets,Indiana Pacers,Brooklyn Nets,Bankers Life Fieldhouse,125 S. Pennsylvania St.,IN,2021-04-29,19:00:00,50,707
154,Brooklyn Nets vs. Portland Trail Blazers,Brooklyn Nets,Portland Trail Blazers,Barclays Center,620 Atlantic Ave,NY,2021-04-30,20:00:00,139,5500
155,AT&T Center Parking: San Antonio Spurs v Phoenix Suns,San Antonio Spurs,AT&T Center Parking,AT&T Center,1 AT&T Center,TX,2021-05-15, ,15,15
156,AT&T Center Parking: San Antonio Spurs v Phoenix Suns,San Antonio Spurs,AT&T Center Parking,AT&T Center,1 AT&T Center,TX,2021-05-16, ,15,15
157,San Antonio Spurs v Phoenix Suns Tim Duncan Hall of Fame Night,San Antonio Spurs,Phoenix Suns,AT&T Center,1 AT&T Center,TX,2021-05-15, ,40,1300
158,San Antonio Spurs v Milwaukee Bucks Military Appreciation Night,San Antonio Spurs,Milwaukee Bucks,AT&T Center,1 AT&T Center,TX,2021-05-10,19:30:00,13,1000
159,Brooklyn Nets vs. San Antonio Spurs,Brooklyn Nets,San Antonio Spurs,Barclays Center,620 Atlantic Ave,NY,2021-05-12,20:00:00,81,2860
160,San Antonio Spurs v Philadelphia 76ers Fiesta Sock Giveaway,San Antonio Spurs,Philadelphia 76ers,AT&T Center,1 AT&T Center,TX,2021-05-02,19:00:00,20,1300
161,San Antonio Spurs v Phoenix Suns Fiesta Court Beach Towels Giveaway,San Antonio Spurs,Phoenix Suns,AT&T Center,1 AT&T Center,TX,2021-05-16, ,12,1000
